feat,import
count_aggr_1_month_ago_city_item_category_id,0.00019892976250725656
count_aggr_2_quartals_ago_mall_last_big_category,0.00019665988794164766
count_aggr_1_month_city_last_big_category,0.00018915682002295273
count_aggr_1_month_ago_mall_item_id,0.00018800325361799185
count_aggr_2_quartals_ago_first_big_category,0.00017542235235889863
count_aggr_3_months_mall_item_category_id,0.00016650623814224032
count_aggr_3_months_item_id,0.00015158997189743698
count_aggr_year_mall_first_big_category,0.00014310232504117747
count_aggr_2_quartals_ago_city_last_big_category,0.00013177427597637806
item_id,0.0001249573606313241
count_aggr_3_months_city_last_big_category,0.0001193746797584986
count_aggr_year_item_id,0.00010843336984311764
count_aggr_6_months_item_category_id,9.857490947219621e-05
count_aggr_6_months_item_id,5.1124300084210024e-05
count_aggr_3_months_city,4.1087945849739516e-05
count_aggr_6_months_city,3.949386177812793e-05
count_aggr_1_month_ago_city,3.413789163471191e-05
count_aggr_year_city_last_big_category,2.4164859710006856e-05
count_aggr_1_month_city,2.2555739817411468e-05
count_aggr_6_months_city_item_category_id,1.674626795936545e-05
count_aggr_2_quartals_ago_city_item_id,1.0364349647463824e-05
count_aggr_1_month_city_item_category_id,1.8733569495876752e-06
count_aggr_6_months_city_last_big_category,0.0
days_in_a_month,0.0
item_category_id,0.0
